epoch,loss,val_loss
0,0.013792664743959904,0.01597101055085659
1,0.011282352730631828,0.008540201000869274
2,0.009870385751128197,0.006936874706298113
3,0.00859574880450964,0.006892543286085129
4,0.0062742759473621845,0.007629242725670338
5,0.006435340736061335,0.008534898981451988
6,0.005681898910552263,0.012754241935908794
7,0.005504901986569166,0.006702525541186333
8,0.00556629104539752,0.007755320984870195
9,0.0036710810381919146,0.006075880955904722
10,0.004074854776263237,0.006880562752485275
11,0.005193116143345833,0.0101871807128191
12,0.003752372693270445,0.005250329617410898
13,0.0035510726738721132,0.006829730235040188
14,0.003138179425150156,0.006663711275905371
15,0.0032700856681913137,0.006838370114564896
16,0.002996496157720685,0.005974954459816217
17,0.005944403354078531,0.008437084965407848
