epoch,loss,val_loss
0,8.31644058227539,6.722573280334473
1,5.570225238800049,5.790542125701904
2,4.288909435272217,5.10152006149292
3,3.4806058406829834,4.295888900756836
4,2.846237897872925,4.250528335571289
5,2.4384570121765137,3.4031949043273926
6,2.0868189334869385,3.3076000213623047
7,1.7949790954589844,2.6831936836242676
8,1.5690984725952148,3.522305965423584
9,1.4148669242858887,3.044370412826538
10,1.281611680984497,2.9975173473358154
11,1.2106404304504395,3.0752978324890137
12,1.0600850582122803,2.4793455600738525
13,0.9571051597595215,3.0991709232330322
14,0.9954808950424194,3.4034883975982666
15,0.8929370641708374,2.7421774864196777
16,0.76353919506073,3.3468387126922607
17,0.7231547832489014,3.3159236907958984
18,0.654625415802002,2.9511847496032715
19,0.6707474589347839,3.0801634788513184
20,0.575951099395752,3.0377416610717773
21,0.5322292447090149,3.4242892265319824
22,0.5451217889785767,3.0289642810821533
